company_name,address,city,state,zip,phone,website,email
Bridewell Hilltop Kennels,325 Sunset Trail,Novato,CA,94945,(415) 897-5471,bridewellhilltopkennels.com,
The Dog House Inn,8190 Honeycomb Ln,Gilroy,CA,95020-8842,0,,brittm@cox.net
Long Valley Dog Retreat,116 Crowley Lake Drive,Mammoth Lakes,CA,93546-9755,0,,bugdoc35@aol.com
Westlake Pet Motel,800 E CARLISLE RD,Thousand Oaks,CA,91361-5307,0,,carolharrison@cox.net
Gln Be's Pet Motel,68854 29 PALMS HWY,29 Palms,CA,92277-6400,0,,cumo01@aol.com
*California Cat Center,7048 Sophia Avenue,Van Nuys,CA,91406-3910,0,,dzeck1@gmail.com
C R Ranch Pet-O-Tel,6060 American Ave,Modesto,CA,94513-4929,0,http://crranchpetotel.com/,
Canterbury Tails Dog Resort,6970 Benton Rd,Paso Robles,CA,93446,(805) 467-0021,http://www.canterburytailsdogresort.com/,canterburytailsresort@yahoo.com
Rivers Edge Pet Lodge,1700 N H Street,Lompoc,CA,93436,(805) 740-1000,http://www.riversedgepetlodge.com,
Gentry's Kennels,2150 American Canyon Rd,American Canyon,CA,94503-1258,0,,itasoto@yahoo.com
"*Camp Canine, Santa Barbara's Pet Resort & Spa",803 East Montecito St,Santa Barbara,CA,93103-3220,0,,jamesahrens61@gmail.com
K-9 Action Dog Training And Boarding,19261 E. Lincoln Ave,Reedley,CA,93654-9625,0,,jflaming@yahoo.com
*Canine Spa Pet Hotel,68766 PEREZ ROAD,Cathedral City,CA,92234-7218,0,,kitpogorsky@gmail.com
"*Dr. Dave's Boarding, Grooming & Daycare",1665 S. Bascom Ave,Campbell,CA,95008-0605,0,,klevens@netzero.net
Top Notch Kennels,3221 YOSEMITE AVE,Lathrop,CA,95330-9748,0,,kornfan@mediaone.net
Heatherly Kennels,1815 Andrews Ave,San Jose,CA,95124-2933,0,,mikehall5050@gmail.com
Sam's Doggy Dude Ranch,12750 Calle Real,Goleta,CA,93117-8706,0,,mtautrim@yahoo.com
Paso Robles Pet Boarding,2940 Union Rd,Paso Robles,CA,93446-8391,0,,patmack@tcsn.net
2 Paws Up Dog Daycare & Boarding,4428 Pearl Avenue,San Jose,CA,95136-1846,0,,rika69@gmail.com
Nickolai Kennel,741 Cathedral Pointe Ln,Santa Barbara,CA,93111-1473,0,,robert.lilley@cox.net
29 Palms Pet Resort,34505 County Road 29,Woodland,CA,95695-9349,0,,schroeder@yahoo.com
3 Pines Kennels,22282 Roadd 236,Lindsay,CA,93247-9721,0,,schultzbf@aol.com
4 Paws Flying Pet Resort,9400 Blossom Valley Rd,El Cajon,CA,92021-2307,0,,shearguy@yahoo.com
5 Star Doggy Inn,519 Hindry Ave,Inglewood,CA,90301-2017,0,,srat9@msn.com
Blue Willow Haven Kennels,11832 SMITH RD,Loma Rica,CA,95901-9562,0,www.bluewillowhaven.com,
Brentwood Pet Resort,600 Concord Ave,Brentwood,CA,94559-9744,0,www.brentwoodpetresort.com,
Camp K-9 Of Marin,5810 Paradise Drive,Corte Madera,CA,94925,(415) 924-2267,www.campk-9ofmarin.com,
Fox Run Kennel & Grooming Parlor,491 Walnut Hill Rd,Barre,MA,1005,,,
Livian Boarding Kennel & Stables,119 Federal Street,Belchertown,MA,1007,,,
Raehurst Kennel & Stables,291 State St,Belchertown,MA,1007,,,
Shady Glen Boarding Kennel,37 Amherst Rd,Belchertown,MA,1007,,,
Dubin Boarding & Grooming,1394 Memorial Dr,Chicopee,MA,1020,,,
Maplewood Boarding Kennels,16 East St,Granby,MA,1033,,,
Indian Hy Boarding Kennels,159 N Monson Rd,Hampden,MA,1036,,,
Pet Pals Bed & Biscuit,334 Somers Rd,Hampden,MA,1036,,,
Mt Tom Boarding Kennel & Grooming Shop,320 Easthampton Rd,Holyoke,MA,1040,,,
Rock Valley Kennels,405 Rock Valley Rd,Holyoke,MA,1040,,,
Jan's Dog House A Pet's Home,1651 OLD TURNPIKE RD,Oakham,MA,1068,,,
Klassee K-9 Kennel,319 Loomis St,Westfield,MA,1085,,,
L C's Dog House,349 E Mountain Rd,Westfield,MA,1085,,,
Animal Inn,120 Hubbard Ave,Pittsfield,MA,1201,,,
Noah's Retreat,444 Stockbridge Rd,Great Barrington,MA,1230,,,
Hayes Happydog Boarding Daycare & Training,48 Boice Road,Great Barrington,MA,1230,,,
Havenwood Kennel,811 River Rd,Clarksburg,MA,1247,,,
Hedgerow Kennel,268 Athol Richmond Rd,Royalston,MA,1368,,,
Pawz 'n Play Doggie Daycare,361 Hadley Rd.,Sunderland,MA,1375,,,
Stacy Kennels,939 High Rock Rd,Fitchburg,MA,1420,,,
Doody's Animal Inn,211 ERICKSON RD,Ashby,MA,1431,,,
Bark & Call Inn,675 Jones Hill Rd / 912 Erickson Rd,Ashby,MA,1431,,,
Harvard Kennels,259 Ayer Rd,Harvard,MA,1451,,,
June's Dog House,1009 PLEASANT ST,Leominster,MA,1453,,,
Manilow's Canine Playground,391 HARVARD ST,Leominster,MA,1453,,,
Bark-o-lounge Dog Daycare,675 Great Rd,Littleton,MA,1460,,,
Dayglyn Kennels,41 Cranberry St,Pepperell,MA,1463,,,
Partridge Hill Kennel,113 Knower Rd,Westminster,MA,1473,,,
Dancer's Dog House,9 CHARLTON ST,Oxford,MA,1540,,,
Dalton's Cherrywood Kennel And Grooming,780 Grafton St,Shrewsbury,MA,1545,,,
Champion Kennels,149 Clinton Rd,Sterling,MA,1564,,,
Palatine Kennels & Boarding Lodge,1090 Pleasant St,Paxton,MA,1612,,,
Family Friends Veterinary Hospital And Kennel,864 MASSACHUSETTS AVE,Boxborough,MA,1719,,,
Aandora Kennels,28 GORHAM ST,Chelmsford,MA,1824,,,
Butler Kennels,320 Hall St,Dunstable,MA,1827,,,
Doggie Den 2,15 MAIN ST,North Andover,MA,1845,,,
Alternative Dog Daycare & Learning Center,57 Bear Hill RD,Merrimac,MA,1860,,,
K-Nine Comforts,10 Old Tyng Rd.,Tyngsboro,MA,1879,,,
Bed & Biscuit Country Boarding Inn,116 KIMBALL RD,Amesbury,MA,1913,,,
Boneanza Doggie Daycare,18 BOW ST,Beverly,MA,1915,,,
Aintree Kennel,5 Washington St,Boxford,MA,1921,,,
The Playful Pack Dog Daycare & Boarding,18F Mitchell Rd,Ipswich,MA,1938,,,
Cat Tail Inn At Muddy Creek,993 Haverhill St,Rowley,MA,1969,,,
Creature Comforts Doggy Daycare,10 Broadway,Salem,MA,1970,,,
Cats Pajamas Inn,89 Canal St,Salem,MA,1970,,,
Cohasset's Kennels,235 CEDAR ST,Cohasset,MA,2025,,,
Animed Pet Hospital & Boarding Kennels,918 Providence Hwy,Dedham,MA,2026,,,
Alladan Kennels,1660 West St,Mansfield,MA,2048,,,
Kozy Kennels,619 East Street,Mansfield,MA,2048,,,
Brigadoon Boarding Kennels,1187 Main St,Marshfield,MA,2050,,,
Elja Kennels,182 Clay Pit Rd,Marshfield,MA,2050,,,
Bond Luxury Kennels,12 Carnegie Row,Norwood,MA,2062,,,
Bond Luxury Kennels,12 Carnegie Row,Norwood,MA,2062,,,
Coastal Grooming & Kennel,53 DRIFTWAY,Scituate,MA,2066,,,
Great Scott Kennels,1975 Washington St,Stoughton,MA,2072,,,
Doggieritaville Resort & Daycare,1184 WASHINGTON ST,Waymouth,MA,2189,,,
Best Friends Pet Resort,1014 Pearl St,Brockton,MA,2301,,,
Beresford Kennels,532 FRANKLIN ST,Duxbury,MA,2332,,,
Greengate Farm & Kennels,881 Congress St,Duxbury,MA,2332,,,
Heritage Kennels,1287 Main St,Hanson,MA,2341,,,
Nightingale Kennels,491 Wareham St,Middleboro,MA,2346,,,
Boarding4dogs,89 Vernon St,Middleboro,MA,2346,,,
Happy Dog House,398 ASHLAND ST,Abington,MA,2351,,,
Briarwood Kennel,4 Oldham Street,Pembroke,MA,2359,,,
